k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.596536187600625878e-01,5.597358668641507773e-01,5.597397708781276515e-01,6.014543960243418086e-01,6.014832609160236654e-01,6.014872466838576681e-01,6.409027658404020666e-01,6.409035296727789710e-01,6.422650054412010201e-01,6.708020493552404595e-01
3.367175148507368931e-02,2.169053262049741929e-02,2.172464308647507891e-02,5.591067420874612504e-01,5.591728613496391720e-01,5.595108892752762575e-01,6.011435931332603788e-01,6.011080677211315670e-01,6.011955449233610249e-01,6.408246624864695207e-01,6.410569074232008724e-01,6.423225151846104763e-01,6.703200169974207201e-01
6.734350297014737863e-02,4.334454040237410016e-02,4.341260033676628410e-02,5.574723948497387616e-01,5.575546219146637617e-01,5.589005710278910355e-01,5.998185910184158365e-01,6.002110854153674957e-01,6.002552731624540838e-01,6.404634472970062165e-01,6.416420337140771313e-01,6.427494881614073119e-01,6.689281266877576959e-01
1.010152544552210679e-01,6.492520934505094377e-02,6.502689594024145536e-02,5.549545451204027646e-01,5.550616723191115209e-01,5.579202304459359718e-01,5.978196754418486636e-01,5.982703560009799970e-01,5.983710926934694418e-01,6.397007129433411876e-01,6.429315380548502601e-01,6.439540882273545597e-01,6.667597300973219232e-01
1.346870059402947573e-01,8.639493700884633143e-02,8.652976659125966030e-02,5.517801707585351378e-01,5.519138114642044846e-01,5.566131499637700930e-01,5.951516619611542103e-01,5.951871437613105442e-01,5.953395720582257411e-01,6.385965641046503771e-01,6.451406971128208490e-01,6.461247755412750093e-01,6.639891833038069624e-01
1.683587574253684327e-01,1.077149169046801025e-01,1.078822423513466494e-01,5.481577283608359830e-01,5.483158564644396993e-01,5.550353909251756201e-01,5.919237240703961733e-01,5.909701954940825841e-01,5.911645323253308382e-01,6.372335594790207169e-01,6.482987624096913093e-01,6.492583833573947194e-01,6.607916060774079448e-01
2.020305089104421081e-01,1.288445842040488454e-01,1.290435804150748267e-01,5.442560633504825995e-01,5.444348974681894049e-01,5.532495116359262832e-01,5.860012284095577062e-01,5.857826138856483400e-01,5.882633870323005221e-01,6.356797059763353852e-01,6.522779799626542419e-01,6.532179369269088820e-01,6.573225762911505399e-01
2.357022603955157836e-01,1.497410064648851957e-01,1.499706775850433715e-01,5.402033014552096724e-01,5.403983246321408807e-01,5.513203448606951440e-01,5.800844501546088550e-01,5.798384755190388873e-01,5.842721495197634729e-01,6.339949014662616955e-01,6.536980082603315312e-01,6.568839192435810270e-01,6.578219277086607697e-01
2.693740118805894590e-01,1.703579389763033580e-01,1.706171029076709311e-01,5.360928404272617964e-01,5.362991736746063332e-01,5.493119547957526771e-01,5.736060668552704911e-01,5.733360786087779992e-01,5.800692883201814531e-01,6.322335710678265164e-01,6.500376355739216905e-01,6.619069167540461152e-01,6.628470070538248216e-01
3.030457633656631344e-01,1.906446535664640118e-01,1.909319248750033782e-01,5.319889732435786334e-01,5.322012323119453825e-01,5.472856530039622580e-01,5.667282018690992240e-01,5.664361637565366037e-01,5.757548887693318962e-01,6.304453697149149383e-01,6.464102990009723548e-01,6.671091038870469170e-01,6.680735421689932840e-01
3.367175148507368099e-01,2.105442841544646893e-01,2.108580563551544773e-01,5.279292833744977376e-01,5.281410940870949755e-01,5.452988756068847254e-01,5.595788146141582597e-01,5.592671435330369700e-01,5.714180946930578209e-01,6.286752043395564815e-01,6.428809989654437063e-01,6.721280046403902420e-01,6.731455421781816773e-01
3.703892663358104853e-01,2.299914179861838603e-01,2.303298394532429794e-01,5.239211538222586784e-01,5.241237556260068819e-01,5.434046759508873725e-01,5.522702832534124306e-01,5.519438402703895630e-01,5.671367839276861833e-01,6.269635284037469170e-01,6.395004075475230199e-01,6.762029601060335349e-01,6.772879651512836441e-01
4.040610178208842163e-01,2.489085265244906919e-01,2.492694658547696951e-01,5.199294367196108935e-01,5.201092069846769972e-01,5.416514310773656860e-01,5.449272709698078643e-01,5.445962787719492715e-01,5.629782980430270145e-01,6.253467452588324926e-01,6.363090967002453802e-01,6.778866503444228586e-01,6.789389653358283150e-01
4.377327693059579472e-01,2.672005643604039027e-01,2.675815686543456806e-01,5.158505201012415498e-01,5.159844737504660772e-01,5.377272428258442760e-01,5.400842368875435895e-01,5.374131714014044325e-01,5.590002266048602619e-01,6.238574672809641397e-01,6.333395575383834464e-01,6.764857309624507931e-01,6.773804526466035147e-01
4.714045207910315671e-01,2.847465339801281692e-01,2.851447801640166757e-01,5.114759493993643602e-01,5.115270436075003424e-01,5.309587214297827318e-01,5.387405462256386057e-01,5.306959418608393486e-01,5.552514455845738439e-01,6.225249242364062630e-01,6.306179422486227759e-01,6.733139389430389254e-01,6.740909856526390298e-01
5.050762722761051871e-01,3.013860942600012915e-01,3.017983444790687253e-01,5.064270845762132156e-01,5.065026723945907916e-01,5.250259725416930312e-01,5.376566052340339130e-01,5.248580248442797913e-01,5.517729561188756682e-01,6.213751339458922773e-01,6.281650087507342217e-01,6.696110468051793552e-01,6.703310601038233729e-01
5.387480237611789180e-01,3.168982577129978995e-01,3.173208394622257789e-01,5.005076175866854937e-01,5.007288916607582907e-01,5.202325256706011869e-01,5.202870005549417032e-01,5.368636722619372081e-01,5.485986660617840904e-01,6.204309502372414853e-01,6.259970817665818643e-01,6.659757097527845282e-01,6.666728124832820290e-01
5.724197752462526489e-01,3.309683585274679207e-01,3.313972533321432046e-01,4.940057627178233712e-01,4.943511354033170990e-01,5.167936159163808441e-01,5.168332278606551089e-01,5.363875158553790268e-01,5.457563571870426289e-01,6.197117499228732562e-01,6.241270662388654911e-01,6.627150448481534672e-01,6.634060008806803577e-01
6.060915267313262689e-01,3.431422191136015987e-01,3.435733849677418683e-01,4.875297822431688410e-01,4.879631741918944443e-01,5.143457958438080180e-01,5.144460219786270994e-01,5.362502304466674197e-01,5.432676314388519279e-01,6.192321930028161781e-01,6.225662674701464283e-01,6.600168076776036230e-01,6.607091097891180098e-01
6.397632782163998888e-01,3.527822522730685306e-01,3.532124431419365607e-01,4.818759692529132610e-01,4.823666512315021859e-01,5.127276303224085341e-01,5.128621389289544918e-01,5.364685815174271566e-01,5.411495556594911882e-01,6.189977720110169113e-01,6.213290922487519907e-01,6.580069002683039958e-01,6.587029830507086237e-01
6.734350297014736197e-01,3.590880081784297295e-01,3.595160848908114382e-01,4.779355599095727603e-01,4.784587151010971096e-01,5.118021548867763837e-01,5.119533545751822068e-01,5.370500513598696068e-01,5.394186324529675058e-01,6.189841892216627617e-01,6.204538958680435590e-01,6.567687542377558252e-01,6.574682542553350606e-01
7.071067811865473507e-01,3.612996753527440430e-01,3.617273946827856412e-01,4.765081407736893593e-01,4.770406266211700275e-01,5.115015615130966697e-01,5.116568673321753025e-01,5.378015941928198096e-01,5.382822511903911922e-01,6.190419625772047851e-01,6.200985310230481273e-01,6.563505734376789968e-01,6.570517149279868629e-01
7.239426569290842162e-01,3.613631438153693254e-01,3.617911274031102575e-01,4.765371390802725093e-01,4.770688042978920573e-01,5.111999582594081160e-01,5.113551543339490690e-01,5.378690186394281536e-01,5.383458683169862757e-01,6.191958577288868559e-01,6.202481946347755404e-01,6.565405304104355855e-01,6.572388144333302096e-01
7.407785326716210816e-01,3.615528834994261587e-01,3.619814439551755636e-01,4.766217174747540142e-01,4.771504070094584882e-01,5.103281941938963007e-01,5.104835639712299589e-01,5.380412734900511529e-01,5.385095814091135358e-01,6.196621415709314684e-01,6.207007649373680325e-01,6.571066699722633020e-01,6.577944447812844597e-01
7.576144084141579471e-01,3.618664873863600695e-01,3.622959374245672270e-01,4.767523304903090731e-01,4.772756150831654609e-01,5.089750280063173316e-01,5.091337723475228838e-01,5.382448871905072263e-01,5.387026794168886523e-01,6.204487366783191238e-01,6.214653264174866409e-01,6.580322772747912996e-01,6.587028679545187115e-01
7.744502841566948126e-01,3.622999068306071990e-01,3.627305601905103094e-01,4.769117623371447734e-01,4.774267170661458115e-01,5.072606760475466547e-01,5.074284811846879739e-01,5.383902169511333158e-01,5.388382059114756872e-01,6.215652230049177884e-01,6.225531892915441290e-01,6.592917394215854765e-01,6.599398837340733071e-01
7.912861598992316781e-01,3.628473733926330658e-01,3.632795451950811549e-01,4.770730408324389549e-01,4.775759641401737809e-01,5.053164786890687044e-01,5.055000175750878899e-01,5.383965324399543340e-01,5.388370690886540304e-01,6.230187709749023250e-01,6.239735320766122140e-01,6.608531768523852046e-01,6.614752024471554082e-01
8.081220356417685435e-01,3.635013756537702201e-01,3.639353804859170038e-01,4.771966887843884786e-01,4.776827918308989562e-01,5.032755843137570739e-01,5.034814638170257428e-01,5.382051079923904080e-01,5.386410780577388646e-01,6.248105142380152577e-01,6.257294971107042469e-01,6.626810842002459623e-01,6.632748574740877645e-01
8.249579113843054090e-01,3.642525045151090435e-01,3.646886566547219988e-01,4.772277024218318231e-01,4.776908551296998318e-01,5.012719983905922216e-01,5.015064115993058680e-01,5.377826165073933407e-01,5.382166519733948551e-01,6.269333852344243230e-01,6.278158177285809716e-01,6.647384501238717824e-01,6.653031773674737970e-01
8.417937871268422745e-01,3.650894078144489852e-01,3.655280169933111112e-01,4.770955706980792854e-01,4.775284419796169688e-01,4.994419164502808539e-01,4.997103854766093978e-01,5.371183174750535638e-01,5.375524247399311450e-01,6.293717133997234203e-01,6.302182800715161459e-01,6.669880356333892646e-01,6.675239996186209668e-01
8.586296628693791400e-01,3.659986235266360910e-01,3.664399902793757380e-01,4.767217441225550800e-01,4.771168561594597013e-01,4.979182038950468736e-01,4.982246262052411057e-01,5.362196974734728672e-01,5.366551199709544973e-01,6.321023943537531498e-01,6.329148534629108758e-01,6.693928582910553260e-01,6.699011573963487010e-01
8.754655386119160054e-01,3.669644968797139972e-01,3.674089054365481388e-01,4.760409878500793668e-01,4.763929596880988049e-01,4.968112669084610578e-01,4.971561896906299682e-01,5.351074614124431417e-01,5.355446831650976236e-01,6.350968393424244463e-01,6.358776571207287454e-01,6.719153868644909267e-01,6.723977128262434988e-01
